Type,Flour,Milk,Sugar,Butter,Egg,Baking Powder,Vanilla,Salt
Muffin,47,23,11,9,4,1,0,0
Muffin,51,21,19,10,5,1,0,0
Muffin,52,21,16,12,5,1,0,0
Muffin,47,25,11,10,3,1,0,0
Muffin,48,16,17,10,5,2,0,0
Muffin,48,21,19,12,3,2,0,0
Muffin,46,26,8,9,3,1,0,0
Muffin,51,13,19,8,5,2,0,0
Muffin,47,16,16,9,3,1,0,0
Muffin,47,24,11,10,3,2,0,0
Cupcake,39,3,28,18,14,2,1,0
Cupcake,43,22,15,9,8,2,1,0
Cupcake,32,13,19,21,6,1,1,0
Cupcake,37,0,27,16,15,2,1,0
Cupcake,41,21,19,12,10,2,1,0
Cupcake,37,14,19,19,4,2,1,0
Cupcake,41,0,28,21,14,1,1,0
Cupcake,41,20,19,11,9,3,1,0
Cupcake,31,14,22,20,4,3,1,0
Cupcake,42,0,23,16,16,1,1,0
